Text,Sentiment,ProdID
africellUG my next internet networkabalala sagala kati  alzaidvictor do they hv G  Please cut for me a line  I will thank u later  ,Positive,5
benjamin mtnug Small small ka loan and they hound you as if you joined the network yesterday  ,Negative,13
mtnug sup with network in mbarara  Its on and off okwoman   ,Negative,82
JoanneLubega AirtelUg Yes I do  ,Positive,62
 is on MagicFMUG with me myself and I  Tune in now if you can  BTW africellUG powers my internet    ,Positive,27
mtnug  Mtn this is never fair  Having decducted  for my pakapaka mins from my mobile account i checked by  and my account is zero whats that Ur machines freeze in the morning yyy    ,Negative,9
AirtelUg Guys you cheat on datayour gb for three days is fake u give mbs instead  ,Negative,5
Dear mtnug these USSDs are killing us whens the Mobile App going to back online cc mtnugcare  ,Negative,95
dfcugroup and AirtelUg Thank you very much  ,Positive,51
mtnug you thieves  i swear  i will not buy any data bundle from you  not now not even never frauds just leave our country nothing else you do here  ,Negative,29
mtnug And then boom U start loosing airtime even in ur sleep  ,Negative,82
Please explain to me why u have a weekend combo thats for hours style up I need value for my money africellug  ,Negative,55
AirtelUg  i paid for a weekly OTT yesterday Since now its not active I cant access my social media apps Do u want me to use VPN or wat  ,Negative,29
africellUG No Youre cheating everyone People continue to buy the data but your internet is on and off Perhaps refund the data when your systems go down We cant continue to pay for services that are not worth it  ,Negative,49
africellUG Resorted to africell bundles these day very affordable  ,Positive,51
mtnug is a stable and a wide coverage network However of late its data consumption is too fast making us to over spend on the internet  ,Negative,79
africellUG PLEASE DONT BE CHEATED EVEN NOW GYENDIKO    ,Positive,44
kyedza AirtelUg Trust me I have used every provider in the country  they are all the same no difference in quality I have decided to settle with one and keep pushing for better quality services a long term relationship of sorts When I get to the point of noreturn I will move on  ,Positive,78
So mtnug that had promised to reach out with its technical team to verify their claims on how my data was being consumed on service I personally dont access failed to respond to the details about the appointment  ,Negative,19
Any good Internet Service Providers for heavy home use kindly DM Done with AirtelUg internet  ,Negative,39
AirtelUg My apologies but your network is bad my friend Have tried to reach u so u can help me rectify it but all in vain And I tried mtn which proved to be better  What else could I say Just work on your thing and we will give u the stars you deserve  ,Negative,27
This is so true Airtel G has been trash AirtelUg is lying   ,Negative,84
mtnug you ungrateful ingrates who gives you the authority to use peoples mobile money accounts as you wish did you ask to borrow from them or are you just deciding to rob us in broad day light  ,Negative,76
I opened my mtn app see gaga Valentine and i get excited only to find gb  k  stop toying with our emotions  ,Negative,37
Currently in Nairobi mtnug however I cannot recieve any calls yet I can make calls to Safaricom and MtnUG airtel UG  ,Negative,87
GloriaHindu AirtelUg I thought thats their new way of cheating us  ,Negative,53
AirtelUg It doesnt  I got fed up  deleted the  app I try it in  six months  ,Negative,86
AirtelUg I wish your Internet was as good as this AD Epic ad silly internet speeds  ,Negative,44
AirtelUg I raised an issue with you yesterday over money I transferred on Friday and upto now the money hasnt reached the intended recipient and no efforts have been done to ensure that the issue is resolved I am being left with no option here  ,Negative,17
kanyefelly u can finally come back home We now have mtnug network all over the place  ,Positive,23
AirtelUg BUT WHY I subscribed for GB  days validity Its day  and I have used only mb Reason internet has been off all the time I hope I will get my k refund  ,Negative,79
mtnug could my number have been disconnected when or Im facing challenges alone  I dont and cant receive calls but I can call  ,Negative,22
JosephOwino AirtelUg In in every district town council theres a lot of poor internet speed along the roads as you move a cross the country  ,Negative,8
Been to many offices naye mtnug head office reception is most unique  The receptions are male  grin  and not young chaps gentle men who are likely above  Actually one looked to be above Guess what these guys give better reception than those bu cute receptionists  blush   ,Positive,3
mtnug wondering how long it takes for the aYo team to work upon your claim  I lodged in my claim a week back but no reply and no acknowledgement for receipt of my claim JustBeingCurious  ,Negative,75
AirtelUg  whats wrong with your internet speeds Internet is too slow  ,Negative,87
mtnug and its ayo insurance partner are sick fraudsters i had a small issue with details but they refused to help me rectify it until i gave upafter sucking my hard earned money from me for  months  whether they pay or not Ive no factsbut if they do only to a few  ,Negative,27
mtnug Ooh hi Well the network is damn weak I keep wondering if the G yall go blabbering about even exists Coz how do u afford to have crappie network even in the city center  grimacing   ,Negative,58
TumwesigyeRodg Meanwhile mtnug debited my MoMo and did not give me data since yesterday  ,Negative,96
AirtelUg Hinothing much I am just saying the sms youve sent to me  in total are largely unreadable  ,Negative,53
Has anybody experienced hindrances buying yaka from UmemeLtd using mtnug line or its happening to me alone I have failed for whole week and I have not seen any advisory  ,Negative,25
africellUG Im tired of this bullshit of u guys slowing down the internet whenever I load the dont be cheated bundle And Im not the only one complaining about this All my friends on Africell have been complaining  ,Negative,48
MamaKLA That must be AirtelUg and their fake G network  ,Negative,20
leninvictor AirtelUg You are not alone tried a series of times Funny thing When the network is in g is when it streams as if g So fake I also abandoned it  ,Negative,11
DenzelUG africellUG Come for a hug hearteyes   ,Positive,100
mtnug  joy  Eyo navayo daa I embraced africellUG internet But feel calm you are still my best line when it comes to calls and sms  ,Positive,40
africellUG Im i the only one that went to sleep and woke up with my bundle expired Could it be coz the cranes lost the match  ,Negative,16
AirtelUg the queues at your are like for elections See how others are handling us bulungi  ,Negative,73
AirtelUg internet is too slow I have been downloading one file for  hours now  ,Negative,16
AirtelUg working hard to be shittier than MTN today  ,Negative,67
Dear mtnug  I load data you steal  I load prepaid calls you take  I borrow airtime you overcharge me  I call your helpline a slay queen answers She doesnt even know how to say data like a flavored oxygen breather  And I keep theeing Thilla Gathumba with her thwift bundles  ,Negative,60
mtnug what is wrong with your network Are you under siege  ,Negative,22
AirtelUg my freaky friday bundles about to expire when i have barely used the internet Connectivity is always downeven for a simple google search  ,Negative,81
Ey mtnug again What is wrong with your internet Its too slow takes long to load anything Another day with this problem      ,Negative,69
Please CentenaryBank why is sending sme one a voucher code thru your agents too expensive Even more expensive than using mtnug mobile money to my mm forward payment including withdraw charges  ,Negative,94
mtnug we are having issues with some of your services  ,Negative,4
AirtelUg  but airtel u big Lair last time I won but u didnt give me my data shame up on your  ,Negative,52
AirtelUg some serious network issues in and around naalya kiwatule Internet extremely slow Whats happening  ,Negative,27
AirtelUg Drops airtel money charges as MTN Increases Thank You AIRTEL  ,Positive,3
Sending money just got easier and better only with mtnug  Check out the rates  ,Positive,59
SheilahGashumba africellUG Wen to shoprite Kampala to purchase an africell line and they told mi they are over Tuli kuki    ,Negative,57
mtnug please help me my line is going to be blocked  and currently i hav no job U give out big hampers and expensiveplse help me with a  i stay online  ,Negative,25
AirtelUg Theres nothing to complain about this app so far  ,Positive,80
AirtelUg I cant use internet without OTT and I have tried calling you several times but all you tell me is restarting my phone and activating airplane mode And you telling me to take my phone to your service centers my phone has no problem as MTN works fine  ,Negative,33
AirtelUg when do you plan to improve the strength of your network such that I can always use my mbs without stress and anger You are contributing to my shorter life on this earth  ,Negative,19
Am sure this AirtelUg network will make me fall from the to of tree Tooo poor  ,Negative,7
I wanna take this adamount opportunity to thank africellUG for keeping me online  and also my data is about to be depleted  Can your people talk to my people We see a way forward  ,Positive,57
mtnug whats wrong with loading minutes Ive subscribed to min ugsh twice but when I try calling that my account balance is too low to complete this call pliz I need some help  ,Negative,20
AirtelUg The pics above describes my two problems with you why the data so expensive is one and why G in karamoja and not in namugongo  ,Negative,78
I went to withdraw UGX  from my MTN MM account and was charged close to k and apparently it only gets worse when you go higher Dear mtnug these are astronomical figures considering us the You have to review this in the next budget thinking  angry     ,Negative,78
AirtelUg your Internet is wack i  cant get anything done Bambi do something about it Im soon changing to a better service provider persevere   ,Negative,6
AirtelUg how do I call someone they fail to pick up ur callcenter personnel tells me the person am calling is not able to pick up the call and then u chop my money Hoooooowwwwww  ,Negative,96
Naye Nedda AirtelUg Plz Why is my data disappearing in thin air  kissing  thinking and am not playing videos on here  hugs   ,Negative,17
Dear AirtelUg enough with the wewole messages  ,Negative,17
Am back to my mtnug internet i cant keep straining my head with this AirtelUg G crawling internet  ,Positive,21
mtnug I think it would be fair if you told people that your global money transfer is a fucking hoax  this is the second time youre not effecting transactions even after deducting cash  And you have clueless people in the name of customer care personnel  ,Negative,10
We love what u do to us too haha Yo the best africellUG  ,Positive,6
Hey mtnug do you have an issue with mobile money Coz everytime I try to buy airtime or data they tell me that mobile money charge failure  ,Negative,93
AirtelUg indians amuse me g claims but theres places in kampala i know of where your data expires bc tha network is ever tripping and always shows E thats g mf  ,Negative,7
name something slower than AirtelUg internet Ill wait unamused   ,Negative,38
AirtelUg Put proper your G network its nolonger working  ,Negative,81
AirtelUg Because its unreliable connection has mood swings confused   ,Negative,89
mtnug First sort the MTN app and Mobile money kuba mafia tatuyamba  ,Negative,41
AirtelUg First work upon the sucking network and then discuss offers  ,Negative,1
AirtelUg So u just requested  ma number  fun u havent helped me get back ma money neither get ma data u guys whats wrong get serious with ma money  ,Negative,78
AirtelUg  I miss using your internet ever since you blocked my Line I have been suffering a lot Your loyal customer  ,Negative,3
AirtelUg why is it that am experiencing a very unstable extremely slow internet download n upload speeds this morning Ate dont tell me to restart MA phone coz v done it many times  pensive   ,Negative,2
Meanwhile AirtelUg please explain to me why I cant have m on my line  thinking   ,Negative,59
AirtelUg twebelelemu this isnt G  This is rebranded G  ,Negative,4
AirtelUg This is how your network is in reality compared to your lies And most annoying it will then show that its depleted before even expiry  weary   ,Negative,48
africellUG Africell you deactivated my number because it was off for some good time  ,Negative,99
AirtelUg give me a number to call Seeing as you have decided to just ignore me on here  ,Negative,27
AirtelUg Is there a data network problem It is flaky moving from Edge to H to Off and back again Yes I have rebooted my phone  ,Negative,14
CanaryMugume That happened to me i was in karamoja just last week and i have been suffering with network its only mtn that is kinda available that side now am in Malaba boarder of Uganda and kenya its the same problem AirtelUg lied to us about G but your network is poor  ,Negative,29
mtnug Thanks very much  ,Positive,42
So mtnug the app issue is going to be resolved when time for Gaga wednesday offers has expired  ,Negative,45
AirtelUg just thieves  for the past three months or so whenever I load airtime you deduct  of that airtime I put its like clockwork  Ive never borrowed money Ive never borrowed airtime or even subscribed to caller tunes  EXPLAIN IM FN FED UP  ,Negative,34
Ugaman AirtelUg For my own case i use airtel for calls only but gave up on their data packages  Mr president dont stress yourself choose another network for data  ,Positive,2
AirtelUg the airtel now think we are rich as we work in bank of Uganda by increasing minute handle in mypakalast  ,Negative,3
africellUG But hurry ko to interswitch it to airtime  whereby one can purchase it via his or her airtime  coz africell money agents are too scarse in most places  but in remote areas we arent even recieving your services People need to move long distances to get your sevices  ,Negative,69
africellUG Thanks for de feedback  ,Positive,95
mtnug  what is happening with mobile money Need to buy data and send some money Now am stuck and your not even telling us anything Please put back the network for me just one minute  ,Negative,8
 how do I top up money from AirtelUg onto SafeBoda account I have failed to find approval options  ,Negative,32
AirtelUg Resolved My out of service number is back into service  ,Positive,39
AirtelUg Good morning AirtelUg  what is happening to your network this morning  ,Negative,33
Ugaman Did you use mtnug  also Secondly do you pay OTT or most of the data is taken by VPN  ,Negative,100
Eroquezan AirtelUg mweddeko Is it still raining where your engineers operate hence their inability to resolve this  ,Negative,60
So AirtelUg took wksk worth of airtime and my transport frm NBO to solve a min issue I tweeted everyone including their MDAirtelUG with no help Turns out their customer care wasnt checking the transactions properly Most Pathetic services in the region  ,Negative,94
AirtelUg seriously  smirk In just less than  minutes i have used   ,Negative,21
mtnug i have never subscribed to MoKash auto savingsyou chopped my money in the nightI need it back  ,Negative,87
AirtelUg Ok but Karamoja is too vast and large where I am it requires too much movement to reach Airtel outlet but I will try  ,Negative,75
Dear AirtelUg Let thank you for the time we have shared together the last years  Today I have decided to give up on your network as my ISP  I cant stand this level of theft  ,Negative,21
MusSly mtnug Airtel g is worse  ,Negative,17
mtnugcare dropping calls like hell this mid morning mtnug mutuyambe  ,Negative,36
africellUG I die fo africel we shud ol join africell n we enjoy d network  ,Positive,100
mtnug is there a problem with the OTT payment service  ,Negative,39
AirtelUg for whatever reason My Airtel Internet has stopped working Tried ur customer care help line They said they would send Airtel settings and none of that worked I have tried the line in various devices Same problem Need help  ,Negative,53
africellUG some of our neighborhoods lack africell money agents Kindly add an option for the swift bundle on airtime too  ,Negative,44
Dear mtnug your MTN service center in Busunju is embedded with fraudsters   ,Negative,61
Hey africellug whats wrong with your internet Are you trying to win airtelug in having poor services All this data but it doesnt work  ,Negative,63
Thank you mtnug for believing in us  ,Positive,55
AirtelUg hello  Please can you help tell me why I cant download anything from playstore or anything  Its disturbing me thanks  ,Negative,90
Even when not sober africellUG is still the best internet provider  dancer   ,Positive,77
mtnug youre always quick to remind me that my airtime is running low and stuff those messages are annoying but when it comes to good service Im reminded that Im near the Congo border rolleyes   ,Negative,41
digitaldidan A scam AirtelUg  ,Negative,80
Ssebut mtnug Just last week I loaded  mins on Wednesday amp on Friday it was  mins left  I looked through my call history amp added up cz the calls Id made were that few  Id used a total of like  mins only the longest call lasting seconds These calls are shady as hell  ,Negative,92
mmetho AirtelUg I dont know for sure On that  rupees in India you have data every day and can even call across all networks  messages each day for  months I thought airtel India is a partner We want to know all the reasons why things are bad here  ,Negative,89
So I bought this AirtelUg gb n u guys gave me just gb widout d mbs bonus yet i used mobile money to buy angry wats so wrong wid u  ,Negative,89
AirtelUg its been two days with data on my phone and painfully paid OTTI cant download anything thing be it a document or even send onenot even a picture can be downloaded or shared on my social media platformsbut why  ,Negative,46
AirtelUg I need to know why is it that some of us who gave the right submissions last time havent yet received  our data as you promised  Do you just do all this just to excite us  Stop your scam games  ,Negative,100
mtnug Well your internet is off  ,Negative,8
AirtelUg I deserve an explanation why my card got disconnected before st may  ,Negative,67
Is it just me or are both Africell and MTN Ug proclaimed GLTE data connection very shitty lately mtnug africellUG  ,Negative,45
ngobipeter africellUG Finally heres that Africell SWIFT internet balance after  days Reliable  thumbsup   ,Positive,65
KINGRNZO AirtelUg Mahn Its like  between pm  midnight speeds are  at G  confounded   ,Negative,10
I went to upgrade my AirtelUg line to G but its like I was switched to G  thinking   ,Negative,77
AirtelUg Cant receive calls nor check balance Tho shows full netwrk bar  ,Negative,34
Eyo AirtelUg Ive been a loyal customer but your G network is shit  A myth Regards  ,Negative,60
AirtelUg I upgraded my line to G i havent received my free GB up to now your customer care keep on telling me i wait I wait till when  sob   ,Negative,2
I got an africellUG sim last week After buying their G pack of GB at k hustling with customer care for an hr sijui internet settings a lady at their desk in acacia mall assured me the G is only along Ggaba Rd and Nakasero I feel robbed  ,Negative,44
africellUG Download speeds were reduced  ,Negative,32
AirtelUg I subscribed k monthly datasms and mins yesterday but my data is not responding upto nowAny help  ,Negative,75
mtnug am not happy smirk   ,Negative,54
Its been a while since Ive seen such download speeds kudo africellUG  ,Positive,67
AirtelUg hi airtelplease improve on yr internet networkcos u get freaky Friday MBS noozilwanyisa okuzimalakoeven other data Bundleoba there is a lot of data trafficupgrade the severs to accommodate more lines at g  ,Negative,74
Look at this conditions for postpaid customer AirtelUg is like you are applying for A loan in a Bank and they disconnect immediately when your Visa expires  without confirming if you extendedGuys pull up your socks please  ,Negative,9
mtnug Voice calls are the worst Most times network is  and internet is at EDGE  of the time I literally have to move about to look for  signalstrength   ,Negative,56
AirtelUg Just wasted a whole afternoon at your centre on Ruth towers and no solution can be provided Who switches off a clients number and cant offer a solution Who does that You guys are demonstrating your incompetence loud and clear  ,Negative,84
samueltumuhimb AirtelUg Thats fake g for airtel as if its G  ,Negative,31
KagutaMuseveni AirtelUg HE did u tel them that in Busia network is  very poor Pliz  ,Negative,94
AirtelUg why is it that our data bundles disappear within minutes of purchasing them Down to  already when all Ive done is check my WhatsApp and emails Theres always a season after every few weeks when this happens which is suspicious whats going on UCCOfficial  ,Negative,11
In the last four days I have topped up my Airtel Ug Number with their GB data packages everyday but the data gets depleted like its MBs To set the record straight I have used other service providers before but never experienced this depletion level      ,Negative,58
Dear AirtelUg how many times will I join the G u keep sending this message and it annoys me when the G is shit itself Please stop sending me this message I already upgraded my SIM card and no change on my internet Thank you  pout   ,Negative,47
AirtelUg bt wats wrong with my iternet bse every tym says am offline when am connected even with data  Wats going on pliz  ,Negative,9
mtnug whats your problem really you deduct money from my mobile money account yet you havent completed the transaction lwaki muli babi  ,Negative,89
AirtelUg  your technical and customer service teams do not work on weekends from experience or did that change recently  ,Negative,24
AirtelUg please kindly return my airtel money I subscribed for your freaky Friday bundle via mobile money it was deducted but havent received the bundle up to now  pout  triumph Case No C  has been raised and will be resolved by LIARS  ,Negative,87
mtnug my download experience is not good current in Kyaliwajjala behind Vienna at the lower end Has G been down graded to  or its something else  ,Negative,84
AirtelUg I just made a  second call and got charged thrice  Whats up  ,Negative,54
AirtelUg MDAirtelUG  We kindy need help with your Upgrade to g It seem miserable the g The internet speed is like a not upto standard Why are u still advertising G instead of G  ,Negative,50
AirtelUg if theres ever a competition for the worst customer service ever you guys deserve a golden crown  Ive had an issue with you since October  Its now Feb  and I just get empty promises  ,Negative,89
Mechodu AirtelUg Airtel can mean to do the most when it comes to frustrating people  ,Negative,19
AirtelUg airtel people annoyl forgot my pin u call customer care number those  idiots dont pick upmwstewww pissedwhat a bad network  ,Negative,60
ConstantRidah mtnug is real shit I have accepted Let them disconnect me if they want Hillary had the guts this morning to tell me to visit a service centre I wanted to shout i abused him  ,Negative,77
I bought GB for a month but they were done within  weeks The moment you turn on their data it starts to get consumed even when youre not doing anything It seems the crocodiles shifted to AirtelUg  ,Negative,14
Has  AirtelUg upgraded to G internet The internet is super slow  ,Negative,21
Dear AirtelUg stop underestimating my capabilities How can you tell me to buy  mbs at ugshs Am i the poorest customer  ,Negative,85
Hey  AirtelUg  Why is the network poor today  Voice notes are not reachingPictures cant uploadVideos cant go  Can we know what is happening please  We are all worried  ,Negative,98
ADickRogers AirtelUg I cant just imagine how Airtel g works in kapchorwa when actually here in kampala doesnt  ,Negative,52
AirtelUg  Correct at least in my world Great job  ,Positive,93
Even at this time AirtelUg internet is shit  ,Negative,56
JoChebet africellUG Africell also has issues of late  ,Negative,82
mtnug get grips on your system and let your customer care staff know how to respond A one  just slums the phone in my ears cause am inquiring  ,Negative,46
 sob  So for us who are affected for how long will this take coz as am typing this am using my airtel line to access internet next time notify us please This is frustrating  ,Positive,7
AirtelUg Hi please do something about your internet performance Its frustrating  ,Negative,86
AirtelUg Your have been  soo good to me  ,Positive,84
mtnug We are trying to pay school fees but the system is off  ,Negative,63
I dont know who owns AirtelUg but i got to know about your service last week its really good i think that you should contact my management you need to make me your brand Ambassador i bring numbers you wont regret  grin     ,Positive,15
What is this am heard of the so called G How can mine  be put on G I have problems with network AirtelUg  ,Negative,62
valokecho mtnug Thanks for this but can your customer care lines be picked when we need call for assistance  ,Negative,23
africellUG When does this stop working I loaded it on Friday then Saturday I couldnt What is the reality  ,Negative,35
AirtelUg  I have bought aline and it has not activated  up to now for  hours please help  ,Negative,5
africellUG Mine has failed to load since Friday This is what it shows after dialing   ,Negative,31
AirtelUg this is the g you be advertising such a disappointment not even kbps  ,Negative,87
JaafaJosh AirtelUg Does your Airtel money work  ,Negative,16
AirtelUg No nvm I dont wanna go through all the hardwork of lets get back to yoy so Ill just change my data network to avoid such  ,Negative,98
Good evening AirtelUg by changing your Data Pakalast offers you have killed some of usplease bring back the normal stuff disappointedrelieved   ,Negative,14
AirtelUg It says my airtel number has been blocked and i should go to the nearest airtel shop to verify with my nin Which i have done twice now But in vain I cant even call customer help line  ,Negative,33
AirtelUg why is the network in kireka around the Kabakas palace so bogus we are living like animals please do something about it  ,Negative,19
jnantu mtnug The code still sends you to the mtn shop  joy  here I was thinking it is the better digital option  ,Negative,90
Your home town is now covered with AirtelUg G network How cool is that  ,Positive,47
AirtelUg we have been proud of you for your quality services but it has been month  your internet connection is now the worst in Uganda we are In Kampala but you cant fix this  what do we do yet we paid it monthly every after  seconds it indicates E in connection  ,Negative,37
AirtelUg No network in Ayuu Anaka Lamwo district So we dont know about it  ,Negative,10
AirtelUg I was at your offices at Ruth towers to reactivate my line and was told it would be active in  minutes that is  hours ago and still nothing Please help  ,Negative,15
africellUG Your network is the best so far  ,Positive,69
Fellow mtnug subscribers guard against  amp  theyre everywhere conning people Its unfortunate mtnug does nothing to safeguard subscribers against these  ,Negative,70
AirtelUg pathetic service  Dont respond on call  Dont take air tel broadband  ,Negative,36
africellUG beautiful special and strong  ,Positive,78
mtnug it is my MTN Sim that went off just like that All of a sudden I couldnt do anything or access anything with it  Am eagerly waiting upon you for any help you can give  ,Negative,82
I hate to say this but AirtelUg service is trash been to the service Center times registered my number but still it has not been activated  ,Negative,10
mtnug youre taking way too long to reactivate my number tweffuge  ,Negative,38
mtnug and AirtelUg  airtime in Mbarara has an additional cost of Shs  pensive am disturbed  ,Negative,59
AirtelUg boyecollins Mine too doesnt upgrade  disappointed   ,Negative,18
But can there be a  for surviving mtnug  Such a pain  We deserve better  ,Negative,31
mtnug I am now using AirtelUg  Your data plans are expensive and gets depleted abnormally  ,Negative,51
I thought the bad network was only in my kla kafunda  But boom  collision its everywhere AirtelUg mwedeko And dont inbox me asking me for my location again  I will tell my grandma to send you a speech Am sure that wouldnt make a good bio blush   ,Negative,58
AirtelUg just bought this card  picking network but not making calls or allowing USSD bought from Lira center please update me on the status and how longer I can wait  ,Negative,46
AirtelUg  I have been receiving messages to upgrade to G line and get free GB  I did on my number  but its  days now and I havent recieved data  ,Negative,25
hey africellUG  what have you done to my line  it shows no service  ,Negative,7
mtnug for the past two days you data is running out like crazy where you hacked  ,Negative,68
AirtelUg how long does it take you guys to transfer money send through WorldRemit please its so annoying having to Waite for  days for the money to reach my Account  ,Negative,92
AirtelUg  buying data for k mbs but beerako  mb cost k lwaki mutuba  ,Negative,92
AirtelUg Thank you  already in kanungu  eddykenzoficial we give thanks well done  ,Positive,54
AirtelUg I have never exprience G speed on ur next if thats what you call G the we need G your nwrk is slow  ,Negative,45
Okay The new mtnug app isnt bad at all  ,Positive,6
mtnug I am disappointed by your finger print scanners I think you have the worst product when it come to this technology of finger print scanners While other mobile vendors systems view our finger prints you keep reffing some of us to NIRA Yet its your systems failing  ,Negative,43
mtnug Your data bundles are terrible sob   ,Negative,40
mtnug Thanks for the feedback  ,Positive,67
Data balance  mbs  Me  Downloads a mb file AirtelUg  you have used  of your bundle  unamused   ,Negative,79
AirtelUg  how come you havent given me free data that you normally give when someone upgrades hisher line to G yet I have a G enabled phoneplease clarify  ,Negative,55
AirtelUg are you having any problems over there  Because how can I use up  GB within  hours   ,Negative,39
mtnug Id like to register my sincere disappointment with Yall But i think I should ask a question instead  Why the hell is your data running on g Even two days after upgrading to g the same shitty thing keeps happening Zain and celtel run data faster than yall Thx  ,Negative,55
AirtelUg has gone bonkers  increment on some transaction bands on mobile banking and Paybill Oh hell Where will this all end  Madness You can go bury those two services  ,Negative,48
africellUG Hey Africell  Big fan here I stage at bulenga Nakuwadde but network not that good We need help  ,Negative,77
africellUG Beautiful amazing hopeful  ,Positive,77
But i cant even send to an MTN number as of now  ,Negative,62
africellUG Best network for us the ghetto guys with no fiscal understanding Thants africell  ,Positive,91
AirtelUg hello we have realized while using airtel network we access an old version of our website Please let us know if you have any issues thanks  ,Negative,46
africellUG KebirungiPatri Where do we find africell money vendors  skull   ,Negative,18
Thank you mtnug for your swift response  ,Negative,6
AirtelUg whats wrong with your network its very poor this evening   ,Negative,34
AirtelUg Why have you disconnected my line  ,Negative,11
Whats wrong with network want to pay yaka mtnug  ,Negative,46
ICYMI AirtelUg has announced a major milestone in launching countrywide GLTE coverage in the country this morning Airtel Uganda subscribers will get to enjoy highspeed internet regardless of their location    ,Positive,18
africellUG That is one of the service centers I was referring to where the lady enters after midday  ,Negative,96
africellUG bet your network is G as opposed to these other networks  but the way the data gets consumed its like you guys are in my data sharetugabane  ,Negative,6
AirtelUg is there any way I can boost my internet speed Just moved to a new place and the network is so bad I cant even see peoples avis on Twitter or load whatapp status My phone is G enabled btw  ,Negative,59
G network still exists  sob AirtelUg  Help us here in Arua  sob   ,Negative,11
africellUG Its been too slow the past two months Whats the problem  ,Negative,94
africellUG ChrisNyarwaKK Get yourselves ready for legal action Our bundles expired a day before their time The last time I checked was well around pm of Monday Was the bundle restored and it expired an hour later This is shameful Its a betrayal from a provider I held in high esteem  ,Negative,74
mtnug Work on your network I need to renew my OTT  ,Negative,40
AirtelUg I loaded a days gb before I slept and it was used up when i woke up sleepy   ,Negative,65
Whoever brought africellUG Bambi bring also bring for us Another UmemeLtd NWSC and GDP  ,Positive,38
Thank you at mtnug for the revised rates promotion on Mobile money  slightlysmilingface  blush Entasiima ebula agiwa  ,Positive,8
Seriously how do people survive with SafaricomPLC Mimi nimeshindwa si credo si internet they just vanish africellUG ayam in Kenya and ayam suffering without your services Hii ni hujuma  ,Negative,8
AirtelUg SIM access error  ,Negative,88
AirtelUg  You are just a bunch of Bums  unamused   ,Negative,44
AirtelUg  Your frustrating your loyal customers I have contacted you people multiple times but you promise to follow up but nothing happens  ,Negative,1
But AirtelUg the way you chop data  ,Negative,29
AirtelUg Cheeeei g z too slow you guys shud ask Mr Google sir  ,Negative,40
I deserve a date with mtnug  sweatsmile  smirk   ,Positive,97
africellUG Your Mobile internet is off and on  ,Negative,25
AirtelUg what happened to your IOS app  ,Negative,82
AirtelUg  Fuck I want my money now  pout   ,Negative,37
AtimCharlotte Thats mtnug the offer is lame  ,Negative,29
Am the only one not celebrating the africellUG  offer  sob the Africel  network at my location is so bad  coldsweat  sob   ,Negative,87
AirtelUg Been unable to connect the whole morning  ,Negative,28
AirtelUg  your mobile internet of late sucks how do I buy gb of monthly internet but fail to use a single mb in a day You have defrauded me enough times its high time I looked for some other service provider  UCCOfficial  ,Negative,93
Two steps into Mabira forest  and mtnug starts to display the No Service message  ,Negative,45
AirtelUg  Still no airtel roaming in Qatar  ,Negative,69
 Messages in the morning messages in the afternoon and  messages at night  AirtelUg please are we dating smirk   ,Negative,14
Theft AirtelUg this is the third time I load airtime its chopped call customer care who acknowledge chopping my airtime promise to refund and help Nothing is done  AirtelUg mbwa mwe  ,Negative,78
mcbrayk AirtelUg I once was just on twitter and whatsapp mbz were done in just  hours  ,Negative,33
If there is one thing i have learnt today it is to never trust mtnug Internet in the city centre  ,Negative,69
africellUG If the bundle is for  days Let it be but not  days amp  Hours If I load it on Friday  Am  It should expire on Monday  am Not Sunday Midnight  ,Negative,66
mtnug hullo good people please try to make yo service center in Kaliro liquid Every time they say they dont have cash  ,Negative,68
AirtelUg I asked the above question  hours ago but since you dont care and dont mind you havent given me the answer Fwaaa  ,Negative,45
mtnug disappointed at your customer service Blocking my MM and being VERY unhelpful  ,Negative,24
mtnug Internet has been quite shitty these past days Today too is it just me  ,Negative,60
africellUG Its your fault Africell you made weekend data cheap  sweatsmile   ,Negative,75
AirtelUg Your network is poor in every which way especially the internet  Try masts or something  ,Negative,86
mtnug This is not the feedback i need st you claimed  client was contacted on helpline Now u are claiming she didnt pick  why do we have to beg for the clients issue to be fixed like u are doing us a favour smh  ,Negative,72
Korithehost mtnug Daily light thieves  ,Negative,25
Naye this AirtelUg  G everywhere nga its behaving worse than G Anyone else having issues  ,Negative,88
mtnug your Internet network is too slow  ,Negative,51
So AirtelUg has no option to check for OTT validity Even to buy OTT u have to like go through other codes as if u r going to buy data Not straight forward at all Very poor user experience  ,Negative,83
Is it my phone or is AirtelUg  internet so slow as though I am in a G village internet cafe   ,Negative,93
AirtelUg you have given me an unsolicited voice bundle worth Shs Yet I had loaded my airtime to buy data And make no mistake i have never subscribed for your automatic bundles Efforts to reach you by phone call have proven futile  ,Negative,35
AirtelUg  y have u blocked my mums number yet it is registered in her names and used Her national id to register it pout   ,Negative,78
AirtelUg  but seriously I subscribed to GBs yesterday night and by now have zero mbs lefthow do u explain such a thing  ,Negative,53
mtnug you have become real thugs  I bought  gb of data but depleted within just mins while whatsapping only angry  pout And then sent me your annoying message dear customer you have used up your daily bundle  You niggas will never see heaven pout  angry   ,Negative,30
When africellug mbs are about to expire they slow that shit down on purpose joy   ,Negative,54
africellUG Make this shit last a week not  days smh  ,Negative,38
